Trial,Value,num_preprocess_layers,num_postprocess_layers,preprocess_size,postprocess_size,num_heads_0,num_heads_1,dropout_rate_0,dropout_rate_1,dropout_rate_2,dropout_rate_3,dropout_rate_4,dropout_rate_5,dropout_rate_6,dropout_rate_7,dropout_rate_8,dropout_rate_9,dropout_rate_10,dropout_rate_11,dropout_rate_12,use_batch_norm_0,use_batch_norm_1,use_batch_norm_2,use_batch_norm_3,use_batch_norm_4,use_batch_norm_5,use_batch_norm_6,use_batch_norm_7,use_batch_norm_8,use_batch_norm_9,use_batch_norm_10,use_batch_norm_11,use_batch_norm_12
16,0.03319582715630531,9,2,128,256,18,24,0.000316377272329691,0.026756657174054004,0.03791982309820657,0.032601409060064424,0.07903901214046696,0.060323633865849595,0.022930699717326863,0.0642924863134736,0.02566121973072885,0.06133117129602145,0.04517217978402418,0.03888564713432426,0.0005087808453409781,True,True,True,True,True,True,True,True,True,True,True,True,True
17,0.0328906811773777,9,2,128,256,20,16,0.016644443535737654,0.044831486188945835,0.015977755301472645,0.029168091360782848,0.0398680232945408,0.08206162092008276,0.04571795099139724,0.09719672424942623,0.001764912444746712,0.0644744387231293,0.027331817964156922,0.09891994721748032,0.018949755176558284,True,True,True,True,True,True,True,True,True,True,True,True,True
18,0.03228568285703659,9,2,128,256,18,20,0.031157402142085677,0.009693285131276173,0.0005279936923135468,0.04479472239930041,0.05566865552452657,0.05848227812730066,0.020765886503041026,0.0394628977458576,0.05158200050148276,0.035684273767274295,0.0479029913078564,0.015293903389269704,0.02532981758281942,True,True,True,True,True,True,True,True,True,True,True,True,True
19,0.03278810903429985,9,2,256,64,16,24,0.012722824303405014,0.024755924535381647,0.017194827107832544,0.013694136177028927,0.07736806600393907,0.0722558628001774,0.044188435652280096,0.07074137854449071,0.01876485623729301,0.022189572534270497,0.01824938110003082,0.03962008573628089,0.038681884503993756,True,True,True,True,True,True,True,True,True,True,True,True,True
20,0.032126251608133316,9,2,128,256,22,26,0.049625651898525865,0.007520005331795731,0.04356127052979265,0.02797350000760543,0.053639163298667435,0.09120775492408566,0.042926331521624186,0.060208003577922505,0.034786077386352934,0.040891391489923976,0.04192366401014104,0.021369844463590672,0.010208483173391666,True,True,True,True,True,True,True,True,True,True,True,True,True
21,0.031797152012586594,9,2,128,256,22,26,0.05098547753891205,0.01044875070636978,0.045312159247425265,0.023947589674415216,0.05604002576387032,0.09328012607253824,0.04084708085622271,0.06041136273634684,0.03221215630812068,0.039407550767961014,0.03788427921760308,0.02256387384731215,0.014430359304501098,True,True,True,True,True,True,True,True,True,True,True,True,True
22,0.032407667487859726,9,2,128,256,22,28,0.055462845022091985,0.0004349956216548982,0.04962111331577701,0.007242028003878723,0.0691141874364509,0.09283223495975902,0.02756018701457347,0.08406932731352963,0.03222272715755225,0.05721703556870825,0.03347658501989474,0.006882166658211265,0.018017318569639465,True,True,True,True,True,True,True,True,True,True,True,True,True
23,0.03217574954032898,9,2,128,256,20,26,0.01011808983005814,0.010465647855483042,0.02646007381834636,0.019166507218290354,0.05750498902139609,0.09033842029355607,0.037991344124879846,0.05505058942293242,0.016863951093294697,0.040739704209528424,0.05106283583510109,0.02346062824835627,0.0302356721648252,True,True,True,True,True,True,True,True,True,True,True,True,True
24,0.03228416666388512,9,2,128,256,24,22,0.020437853672689726,0.020878025808950464,0.012534952532122107,0.025481298330160863,0.048111467639293186,0.07613680840163024,0.04990455094499801,0.07222550481942913,0.04454349375699124,0.027632124896706196,0.02532707671750369,0.006723538435229423,0.0021516942890755335,True,True,True,True,True,True,True,True,True,True,True,True,True
25,0.03187059238553047,9,2,128,256,18,30,0.03278293813560849,0.0124743007150142,0.03447233180911885,0.009731991210665846,0.07187704572608275,0.08650869028684112,0.028493766567139284,0.08788641734498442,0.031097455472380044,0.055145295926994395,0.03949677618786059,0.023132706201379943,0.015253864885146923,True,True,True,True,True,True,True,True,True,True,True,True,True
26,0.03223545849323273,9,2,128,256,22,32,0.03289126690469325,0.026899509362031785,0.034126195647774166,0.008082518298689764,0.0719168942466285,0.08543090842363714,0.039144644515668556,0.05243648827728968,0.027040865963601356,0.056161644359533094,0.04265971308231384,0.009878079314028449,0.01332449824873723,True,True,True,True,True,True,True,True,True,True,True,True,True
27,0.032120928168296814,9,2,128,256,18,30,0.04263011007256614,0.00830128479507791,0.044026651297748534,0.01155372947782148,0.05888180473821755,0.07689660365952895,0.017621162827558913,0.06525925732062285,0.015333306990324081,0.03853113314558775,0.05262928811457574,0.023227803120632072,0.007890460097565777,True,True,True,True,True,True,True,True,True,True,True,True,True
28,0.03221273422241211,9,2,64,128,20,30,0.05525139581288506,0.012895983325174809,0.02329980599223254,0.0001226458527353036,0.08354222686761582,0.06759200516950843,0.030205393828377343,0.08826182918034205,0.029820652219766226,0.06819565212387807,0.034411241560948796,0.04206635130935349,0.018502890764135103,True,True,True,True,True,True,True,True,True,True,True,True,True
29,0.03230401128530502,9,2,256,64,26,30,0.02611473713967533,0.020921906809672267,0.03174738758819681,0.018925548009048627,0.07357454572772007,0.09976779497713198,0.048750549850099405,0.07852818549657051,0.034762292946226875,0.024349637905077288,0.002731422246882907,0.020767002767080277,0.0010142908796214774,True,True,True,True,True,True,True,True,True,True,True,True,True
30,0.03219563886523247,9,2,64,256,32,28,0.03897294273180058,0.014740059023079656,0.056169661460272524,0.011760389691444974,0.08311414887104501,0.07926568506221211,0.03656459561792773,0.07701644688500553,0.020129377597484534,0.016654370884356232,0.008397699397032464,0.011797498997589603,0.021994085802532433,True,True,True,True,True,True,True,True,True,True,True,True,True
31,0.032374944537878036,9,2,128,256,16,24,0.008806146899879408,0.007319256635352743,0.020116480894977973,0.033076518665197875,0.06851950475007419,0.0895367615310218,0.027347709235700183,0.09930641071673531,0.04108819097120478,0.04556257025790367,0.03935540298819469,0.03294641853262757,0.013887218202723902,True,True,True,True,True,True,True,True,True,True,True,True,True
